Date : 2025-10-22 11:55:27
Directory : /home/allmighty/42/github/minishell
Total : 96 files,  4522 codes, 1120 comments, 644 blanks, all 6286 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         86 |      3,760 |        968 |        535 |      5,263 |
| C++      |          9 |        760 |        152 |        108 |      1,020 |
| Markdown |          1 |          2 |          0 |          1 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |         96 |      4,522 |      1,120 |        644 |      6,286 |
| . (Files)                                                                          |          1 |          2 |          0 |          1 |          3 |
| bash_tst                                                                           |          2 |         27 |          0 |          4 |         31 |
| dr_mizumis_lab                                                                     |         76 |      3,535 |        921 |        510 |      4,966 |
| dr_mizumis_lab/check_parsing                                                       |          5 |        221 |         58 |         36 |        315 |
| dr_mizumis_lab/exec_cmd_line                                                       |         16 |        837 |        216 |        112 |      1,165 |
| dr_mizumis_lab/get_arg                                                             |          8 |        305 |         97 |         52 |        454 |
| dr_mizumis_lab/get_argv_len                                                        |          5 |        253 |         57 |         38 |        348 |
| dr_mizumis_lab/get_cmd                                                             |         12 |        598 |        141 |         84 |        823 |
| dr_mizumis_lab/get_cmd_line                                                        |         15 |        713 |        176 |         98 |        987 |
| dr_mizumis_lab/get_line                                                            |          5 |        227 |         55 |         30 |        312 |
| dr_mizumis_lab/get_redir                                                           |         10 |        381 |        121 |         60 |        562 |
| microchibre                                                                        |         17 |        958 |        199 |        129 |      1,286 |
| microchibre/microchibre0                                                           |         17 |        958 |        199 |        129 |      1,286 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                           | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/allmighty/42/github/minishell/README.md                                      | Markdown |          2 |          0 |          1 |          3 |
| /home/allmighty/42/github/minishell/bash_tst/file.c                                | C        |          7 |          0 |          2 |          9 |
| /home/allmighty/42/github/minishell/bash_tst/key_printer.c                         | C        |         20 |          0 |          2 |         22 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/check_parsing/.i_am.c           | C        |         27 |         11 |          4 |         42 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/check_parsing/check_parsing.c   | C        |         78 |         11 |          9 |         98 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/check_parsing/create_error.c    | C        |         16 |         11 |          3 |         30 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/check_parsing/helpers.c         | C        |         25 |         11 |          7 |         43 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/check_parsing/minishell.h       | C++      |         75 |         14 |         13 |        102 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/.i_am.c           | C        |         27 |         39 |          4 |         70 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/check_parsing.c   | C        |         78 |         11 |          9 |         98 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/cmd_funcs.c       | C        |         15 |         11 |          3 |         29 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/create_error.c    | C        |         30 |         11 |          5 |         46 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/exec_cmd_line.c   | C        |         82 |         12 |          8 |        102 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/expand.c          | C        |         58 |         11 |         10 |         79 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/get_arg.c         | C        |         73 |         11 |          8 |         92 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/get_argv_len.c    | C        |         56 |         11 |          7 |         74 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/get_cmd.c         | C        |         26 |         11 |          4 |         41 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/get_redir.c       | C        |         84 |         11 |          9 |        104 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/get_redir_utils.c | C        |         31 |         11 |          5 |         47 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/helpers.c         | C        |         25 |         11 |          7 |         43 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/memory.c          | C        |         43 |         11 |          6 |         60 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/minishell.h       | C++      |        123 |         22 |         13 |        158 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/pipes_utils.c     | C        |         42 |         11 |          6 |         59 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/exec_cmd_line/var_funcs.c       | C        |         44 |         11 |          8 |         63 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_arg/.i_am.c                 | C        |         36 |         11 |          4 |         51 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_arg/create_error.c          | C        |         18 |         11 |          3 |         32 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_arg/expand.c                | C        |         29 |         11 |          6 |         46 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_arg/get_arg.c               | C        |         72 |         11 |          8 |         91 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_arg/helpers.c               | C        |         25 |         11 |          7 |         43 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_arg/memory.c                | C        |          9 |         11 |          3 |         23 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_arg/minishell.h             | C++      |         71 |         16 |         13 |        100 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_arg/var_funcs.c             | C        |         45 |         15 |          8 |         68 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_argv_len/.i_am.c            | C        |         22 |         11 |          3 |         36 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_argv_len/get_argv_len.c     | C        |         75 |         11 |          9 |         95 |
| /home/allmighty/42/github/minishell/dr_mizumis_lab/get_argv_len/helpers.c          | C        |         30 |         11 |          8 |         49 |
