"filename", "language", "C", "comment", "blank", "total"
"/home/allmighty/42/github/minishell/bash_tst/caca.c", "C", 7, 0, 1, 8
"/home/allmighty/42/github/minishell/bash_tst/file.c", "C", -7, 0, -2, -9
"/home/allmighty/42/github/minishell/bash_tst/key_printer.c", "C", 12, 11, 2, 25
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/.main.c", "C", -5, 9, 0, 4
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/get_line.c", "C", 60, 26, 12, 98
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/get_line.h", "C", 33, 0, 1, 34
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/get_line_utils.c", "C", -17, 19, 3, 5
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/line_editing.c", "C", 15, 11, 5, 31
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/memory.c", "C", 22, 11, 4, 37
"/home/allmighty/42/github/minishell/dr_mizumis_lab/get_line/output_editing.c", "C", 54, 12, 8, 74
"/home/allmighty/42/github/minishell/microchibre/microchibre0/get_argv_len.c", "C", 4, 0, 0, 4
"/home/allmighty/42/github/minishell/mizumi_lab/move_cursor_tst.c", "C", 67, 20, 6, 93
"/home/allmighty/42/github/minishell/mizumi_lab/smove_buff.c", "C", 28, 0, 3, 31
"Total", "-", 273, 119, 43, 435
