"filename", "language", "C", "comment", "blank", "total"
"/home/tpanou-d/Documents/github/minishell/macrochibre/.main.c", "C", 36, 11, 7, 54
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/.deprecated_export.c", "C", 138, 11, 15, 164
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_cd.c", "C", 126, 11, 12, 149
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_echo.c", "C", 32, 11, 5, 48
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_env.c", "C", 12, 11, 3, 26
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_exit.c", "C", 43, 11, 6, 60
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_export.c", "C", 87, 26, 10, 123
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_pwd.c", "C", 11, 11, 3, 25
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/builtin_unset.c", "C", 27, 11, 5, 43
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_convert_export_to_var.c", "C", 68, 27, 11, 106
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_envp.c", "C", 31, 43, 7, 81
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_exportp.c", "C", 53, 54, 9, 116
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_find_var.c", "C", 36, 11, 6, 53
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_safe_getcwd.c", "C", 11, 11, 2, 24
"/home/tpanou-d/Documents/github/minishell/macrochibre/builtins/util_throw_builtin_error.c", "C", 33, 12, 6, 51
"/home/tpanou-d/Documents/github/minishell/macrochibre/create_error.c", "C", 31, 11, 5, 47
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/.get_path_main.c", "C", 21, 11, 3, 35
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/exec_cmd_line.c", "C", 65, 14, 5, 84
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/get_path.c", "C", 79, 11, 9, 99
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/open_redirs.c", "C", 49, 11, 6, 66
"/home/tpanou-d/Documents/github/minishell/macrochibre/exec/pipes.c", "C", 50, 11, 6, 67
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/.main.c", "C", 35, 20, 4, 59
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/end_get_line.c", "C", 37, 11, 6, 54
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/get_line.c", "C", 51, 11, 5, 67
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/get_line.h", "C", 45, 11, 5, 61
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/get_line_utils.c", "C", 32, 11, 10, 53
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/handle_ctrl.c", "C", 48, 11, 6, 65
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/handle_keys.c", "C", 75, 11, 8, 94
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/history.c", "C", 61, 11, 8, 80
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/history_utils.c", "C", 28, 11, 5, 44
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/line_editing.c", "C", 56, 11, 10, 77
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/memory.c", "C", 43, 11, 5, 59
"/home/tpanou-d/Documents/github/minishell/macrochibre/get_line/output_editing.c", "C", 75, 12, 10, 97
"/home/tpanou-d/Documents/github/minishell/macrochibre/memory.c", "C", 59, 11, 7, 77
"/home/tpanou-d/Documents/github/minishell/macrochibre/minishell.h", "C", 226, 26, 20, 272
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/.get_redir_utils.c", "C", 1, 53, 7, 61
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/.hdoc_main.c", "C", 44, 11, 2, 57
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/.main.c", "C", 80, 12, 3, 95
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/.redir_main.c", "C", 38, 12, 2, 52
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/cmd_funcs.c", "C", 17, 11, 4, 32
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/expand.c", "C", 42, 11, 7, 60
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_arg.c", "C", 69, 11, 8, 88
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_argv_redirv.c", "C", 46, 11, 6, 63
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_cmd_line.c", "C", 78, 11, 7, 96
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_hdoc.c", "C", 59, 11, 7, 77
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_redir.c", "C", 74, 11, 9, 94
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/get_redir_name_len.c", "C", 40, 11, 6, 57
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/go_to_end_of.c", "C", 60, 11, 6, 77
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/parsing_utils.c", "C", 29, 11, 7, 47
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/parsing_utils2.c", "C", 35, 11, 7, 53
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/parsing_utils3.c", "C", 29, 11, 5, 45
"/home/tpanou-d/Documents/github/minishell/macrochibre/parsing/var_utils.c", "C", 15, 11, 5, 31
"Total", "-", 2666, 751, 348, 3765
